Name of local government,Name of camp,Latitude,Longitude,Date of survey,Flying-fox absent (true/false),Total number of black flying-fox,Total number of Grey-headed flying-fox,Total number of Little red flying-fox,Total number of Spectacled flying-fox,Total number of all species,EHP camp identification,CSIRO camp identification
Somerset,Atkinsons Dam,-27.42135,152.456091,17-May-19,TRUE,0,0,0,0,0,373,
Southern Downs,Allora (Dalrymple Creek),-28.028018,151.983746,16-May-19,FALSE,200,0,500,0,700,2,271
Gympie,"Gympie Township, Widgee Crossing",-26.1822,152.6384,16-May-19,FALSE,0,0,0,0,0,59,161
Gympie,"Kandanga, Hyne Estate Rd",-26.4048,152.7044,21-May-19,FALSE,265,176,0,0,441,70,164
Fraser Coast,Glenwood Varley Road,-25.9274,152.6259,17-May-19,FALSE,200,19800,0,0,20000,53,349
Noosa,"Noosaville, Wallace Drive",-26.400669,153.049086,21-May-19,FALSE,0,0,0,0,0,245,781
Sunshine Coast,Cooran - Yellow Belly Reserve,-26.3375,152.8264,16-May-19,FALSE,150,0,0,0,150,34,324
Rockhampton,Emu Park (Bell Park),-23.25383,150.82504,17-May-19,FALSE,300,0,0,0,300,386,
Bundaberg,"Innes Park, Logan Road",-24.86359,152.47807,16-May-19,TRUE,0,0,0,0,0,387,
Mackay,Finch Hatton Gorge,-21.0808,148.6347,17-May-19,FALSE,5000,30,0,0,5030,290,343
