Name of local government,Name of camp,Latitude,Longitude,Date of survey,Flying-fox absent (true/false),Total number of black flying-fox,Total number of Grey-headed flying-fox,Total number of Little red flying-fox,Total number of Spectacled flying-fox,Total number of all species,EHP camp identification,CSIRO camp identification
Bundaberg,"Innes Park, Logan Road",-24.86359,152.47807,15-Aug-19,TRUE,0,0,0,0,0,387,
Bundaberg,"North Bundaberg, Botanic Gardens, Young St",-24.851596,152.337234,20-Aug-19,TRUE,0,0,0,0,0,221,585
Bundaberg,"North Bundaberg, Queen St",-24.844087,152.347531,20-Aug-19,TRUE,0,0,0,0,0,351,
Brisbane,"The Gap, Riaweena St",-27.444316,152.941897,16-Aug-19,TRUE,0,0,0,0,0,151,457
Brisbane,"The Gap, Waterworks Road",-27.447086,152.95105,16-Aug-19,FALSE,30,120,0,0,150,242,780
Redland,"Thornlands, Lotus Court",-27.559103,153.26793,15-Aug-19,TRUE,0,0,0,0,0,285,
Gladstone,Aucklalnd Inlet,-23.835839,151.251364,16-Aug-19,FALSE,1000,0,0,0,1000,286,286
Scenic Rim,Kooralbyn (Routley Drive),-28.0834,152.834,17-Aug-19,TRUE,0,0,0,0,0,74,551
Logan,"Loganholme, Timor Avenue",-27.667,153.1773,16-Aug-19,FALSE,55,0,0,0,55,184,377
Brisbane,Indooroopilly Island,-27.5157,152.9886,16-Aug-19,TRUE,0,0,0,0,0,68,163
Scenic Rim,Tamborine NP (Joalah Sec),-27.9237,153.1935,16-Aug-19,FALSE,2,220,0,0,222,150,455
Brisbane,"East Brisbane, Norman Creek (Heath Park/Giffin Par",-27.484127,153.051947,15-Aug-19,FALSE,760,480,0,0,1240,43,159
Brisbane,Northgate reserve,-27.398694,153.072987,16-Aug-19,FALSE,400,0,0,0,400,188,575
Brisbane,"Toowong Perrin Park, Josling St",-27.490983,152.992867,13-Aug-19,FALSE,1800,800,0,0,2600,208,584
Brisbane,"Stafford, Sparkes Hill, Clover Street",-27.412,152.9992,16-Aug-19,TRUE,0,0,0,0,0,142,179
Brisbane,Deagon,-27.33338056,153.0535639,15-Aug-19,TRUE,0,0,0,0,0,335,
Brisbane,"Sandgate, Curlew Park",-27.3231,153.0687,15-Aug-19,FALSE,20,0,0,0,20,134,151
Brisbane,"Herston, Enoggera Creek",-27.442402,153.022578,17-Aug-19,FALSE,0,1783,0,0,1783,46,339
Brisbane,"Windsor, Enoggera Creek",-27.437646,153.037633,17-Aug-19,TRUE,0,0,0,0,0,199,644
Moreton Bay,Redcliffe Botanic Gardens,-27.23145,153.098752,15-Aug-19,FALSE,1980,20,0,0,2000,122,429
Redland,"North Stradbroke Island, Dunwich (Mitchell Cres.)",-27.4965,153.4064,17-Aug-19,FALSE,350,320,0,0,670,108,153
Brisbane,Sunnybank (Les Atkinson Park),-27.582594,153.052372,13-Aug-19,FALSE,900,200,0,0,1100,146,452
Mackay,Finch Hatton Gorge,-21.0808,148.6347,16-Aug-19,FALSE,200,0,0,0,200,290,343
Bundaberg,"Bundaberg, Baldwin Swamp Environment Park",-24.86732,152.370743,20-Aug-19,FALSE,4250,3,0,0,4253,265,772
Scenic Rim,"Canungra, Beachmont Rd",-28.0398,153.1824,16-Aug-19,TRUE,0,0,0,0,0,21,141
Sunshine Coast,"Kuluin, Tallow Wood Drive",-26.660731,153.056141,16-Aug-19,FALSE,1545,705,0,0,2250,389,
Sunshine Coast,"Palmwoods, Kolora Park Bushland Conservation Reserve",-26.6863,152.960392,16-Aug-19,FALSE,11190,5880,0,0,17070,390,
Sunshine Coast,"Maleny, Tesch Park",-26.760769,152.8524,16-Aug-19,FALSE,1700,640,0,0,2340,391,
Bundaberg,"Horton, Station Road",-25.226732,152.307816,15-Aug-19,TRUE,0,0,0,0,0,67,359
Bundaberg,Isis Golf Club,-25.229605,152.3017527,16-Aug-19,TRUE,0,0,0,0,0,363,
Gold Coast,"Broadbeach, Cascade Gardens",-28.0222,153.4277,13-Aug-19,FALSE,240,1,0,0,241,12,147
Gold Coast,"Burleigh Knoll, Burleigh Street, Burleigh Waters",-28.081933,153.439014,13-Aug-19,FALSE,250,25,0,0,275,234,713
Gold Coast,"Carrara, Edelsten Court",-28.017876,153.36239,15-Aug-19,FALSE,0,2,0,0,2,185,306
Gold Coast,"Carrara, Gooding Drive",-28.03315,153.391551,15-Aug-19,FALSE,180,4,0,0,184,190,307
Gold Coast,"Chiba Reserve, Burrendong Rd, Coombabah",-27.893616,153.384217,13-Aug-19,FALSE,250,150,0,0,400,365,900
Logan,"Beenleigh, Logan St",-27.708984,153.196341,16-Aug-19,TRUE,0,0,0,0,0,204,281
Gold Coast,"Runaway Bay, Godlonton Reserve",-27.922301,153.398041,16-Aug-19,FALSE,250,320,0,0,570,218,592
Gold Coast,"Helensvale, Mildura Drive",-27.9012,153.3343,16-Aug-19,TRUE,0,0,0,0,0,61,170
Logan,"Loganholme, Alexander Clark Park",-27.70147,153.18762,16-Aug-19,TRUE,0,0,0,0,0,80,138
Logan,Mount Warren Park - Yvonne Cr.,-27.736966,153.198338,16-Aug-19,FALSE,350,150,0,0,500,96,401
Somerset,"Kilcoy, Kilcoy Creek (Anzac Park)",-26.941497,152.568748,16-Aug-19,FALSE,0,0,0,0,0,200,368
Moreton Bay,Woodford,-26.95031,152.7763,16-Aug-19,TRUE,0,0,0,0,0,173,192
Brisbane,"Ellen Grove, Waterford Rd",-27.614246,152.947948,16-Aug-19,TRUE,0,0,0,0,0,45,337
Logan,Regents Park - Bennets Drive,-27.670041,153.048139,16-Aug-19,TRUE,0,0,0,0,0,127,432
Logan,"Regents Park, Emerald Drive",-27.680013,153.036987,16-Aug-19,TRUE,0,0,0,0,0,128,433
Logan,"Underwood, Nevilles St",-27.617231,153.114545,16-Aug-19,FALSE,50,150,0,0,200,339,
Brisbane,"Boronia Heights, Warana Ct",-27.696823,153.026831,16-Aug-19,FALSE,100,900,0,0,1000,337,
Gold Coast,"Burleigh Lake Park, Dunlin Drive",-28.092131,153.438742,13-Aug-19,FALSE,20,0,0,0,20,393,
Bundaberg,Moore Park Beach,-24.71827,152.280459,20-Aug-19,TRUE,0,0,0,0,0,297,773
Brisbane,Mount Ommaney - Westlake Drive,-27.5444,152.9255,17-Aug-19,FALSE,604,900,0,0,1504,95,400
Brisbane,"Parkinson, Avondale Crescent",-27.63034,153.033682,17-Aug-19,TRUE,0,0,0,0,0,112,419
Brisbane,"Calamvale, Earnshaw St.",-27.621157,153.036482,17-Aug-19,TRUE,0,0,0,0,0,19,300
Brisbane,"Calamvale, Golden Avenue",-27.62738,153.056525,17-Aug-19,TRUE,0,0,0,0,0,241,744
Brisbane,"Riverhills, Zambesi Street",-27.557355,152.9076166,17-Aug-19,TRUE,0,0,0,0,0,357,
Gladstone,Miriam Vale,-24.3262,151.5547,15-Aug-19,FALSE,2370,50,0,0,2420,264,
Rockhampton,Kabra,-23.471698,150.396872,16-Aug-19,FALSE,2520,0,20,0,2540,256,362
Sunshine Coast,Andrea Ahern Bushland Park,-26.783841,153.127408,16-Aug-19,TRUE,0,0,0,0,0,375,1009
Sunshine Coast,"Maroochydore, Stella Maris CS",-26.65077,153.07115,16-Aug-19,TRUE,0,0,0,0,0,86,390
Sunshine Coast,"Palmwoods, Dunning Street",-26.690983,152.953975,16-Aug-19,TRUE,0,0,0,0,0,205,418
Sunshine Coast,"Mooloolaba, Goonawarra Drive",-26.682433,153.107033,16-Aug-19,FALSE,52,0,0,0,52,93,395
Sunshine Coast,"Palmview, Glenview Road",-26.757688,153.045879,16-Aug-19,FALSE,230,260,0,0,490,369,943
Sunshine Coast,"Moffat Beach, Tooway Creek",-26.788058,153.136706,16-Aug-19,FALSE,3090,405,0,0,3495,156,460
Sunshine Coast,"Maleny, Mary Cairncross Scenic Reserve",-26.777548,152.881103,16-Aug-19,FALSE,0,300,0,0,300,356,
Sunshine Coast,"Landsborough, Vidler Crt",-26.799717,152.965367,16-Aug-19,FALSE,1301,865,0,0,2166,78,374
Sunshine Coast,"Palmwoods, Jubilee Drive",-26.6825,152.9618,15-Aug-19,FALSE,200,0,0,0,200,243,
Central Highlands Regional,Emerald Botanic Gardens Rainforest,-23.53685,148.16648,23-Sep-19,FALSE,0,0,1000,0,1000,371,
