Name of local government,Name of camp,Latitude,Longitude,Date of survey,Flying-fox absent (true/false),Total number of black flying-fox,Total number of Grey-headed flying-fox,Total number of Little red flying-fox,Total number of Spectacled flying-fox,Total number of all species,EHP camp identification,CSIRO camp identification
Sunshine Coast,"Maleny, Mary Cairncross Scenic Reserve",-26.777548,152.881103,15-Feb-18,FALSE,0,2017,0,0,2017,356,
Lockyer Valley,"Gatton, Amaroo Retirement Village, Tenthill Creek",-27.564791,152.272578,20-Feb-18,FALSE,0,0,1595,0,1595,182,347
Mackay,Bakers Creek Island,-21.21889,149.15194,15-Feb-18,FALSE,8500,0,0,0,8500,345,
Mackay,Eungella State School,-21.1358,148.492,16-Feb-18,FALSE,550,0,0,0,550,307,340
Mackay,Eimeo Mangroves,-21.0394,149.175,17-Feb-18,FALSE,300,0,0,0,300,306,336
Whitsunday,"Proserpine, Faust Street",-20.401,148.5753,15-Feb-18,TRUE,0,0,0,0,0,312,425
Central Highlands Regional,Emerald Botanic Gardens Rainforest,-23.53685,148.16648,16-Feb-18,FALSE,0,0,300,0,300,371,
Gladstone,"Miriam Vale, Bates Street",-24.326541,151.562317,15-Feb-18,FALSE,5000,0,0,0,5000,372,
Brisbane,Mount Ommaney - Westlake Drive,-27.5444,152.9255,16-Feb-18,FALSE,3000,300,0,0,3300,95,400
Brisbane,Sunnybank (Les Atkinson Park),-27.582594,153.052372,16-Feb-18,FALSE,380,50,10,0,440,146,452
Banana,Biloela,-24.407953,150.513406,16-Feb-18,FALSE,400,0,1500,0,1900,370,
Bundaberg,"Bundaberg, Baldwin Swamp Environment Park",-24.86732,152.370743,16-Feb-18,FALSE,8000,0,1,0,8001,265,772
Bundaberg,"Horton, Station Road",-25.226732,152.307816,16-Feb-18,FALSE,500,0,0,0,500,67,359
Rockhampton,Duaringa,-23.7209,149.6709,16-Feb-18,FALSE,40,0,3500,0,3540,301,
Gladstone,Boyne Island,-23.943197,151.354066,19-Feb-18,FALSE,1500,0,0,0,1500,278,290
