Name of local government,Name of camp,Latitude,Longitude,Date of survey,Flying-fox absent (true/false),Total number of black flying-fox,Total number of Grey-headed flying-fox,Total number of Little red flying-fox,Total number of Spectacled flying-fox,Total number of all species,EHP camp identification,CSIRO camp identification
Fraser Coast,"Maryborough, Saltwater Creek",-25.4734,152.7224,15-Feb-19,TRUE,0,0,0,0,0,90,392
Fraser Coast,"Maryborough, Tinana Island,",-25.56086,152.71216,14-Feb-19,TRUE,0,0,0,0,0,91,534
Fraser Coast,"Hervey Bay, Tooan Tooan",-25.2818,152.8472,15-Feb-19,FALSE,4000,0,8000,0,12000,65,538
Fraser Coast,"Woocoo NP, Aramara",-25.63721563,152.3299461,14-Feb-19,TRUE,0,0,0,0,0,171,190
Bundaberg,"Avoca, McCoys Creek",-24.88741,152.22936,19-Feb-19,TRUE,0,0,0,0,0,238,712
Bundaberg,"Bargara, Fairway Drive",-24.823661,152.462227,19-Feb-19,TRUE,0,0,0,0,0,246,746
Bundaberg,"Bargara, Larder Street",-24.83164,152.46889,19-Feb-19,TRUE,0,0,0,0,0,7,279
Bundaberg,"North Bundaberg, Botanic Gardens, Young St",-24.851596,152.337234,15-Feb-19,TRUE,0,0,0,0,0,221,585
Bundaberg,Childers (Mango Hill Road),-25.246917,152.316675,18-Feb-19,TRUE,0,0,0,0,0,26,312
Bundaberg,"Bundaberg, Baldwin Swamp Environment Park",-24.86732,152.370743,19-Feb-19,FALSE,4000,0,50,0,4050,265,772
Bundaberg,"Gaeta Road, Gaeta",-24.903869,151.592981,18-Feb-19,TRUE,0,0,0,0,0,355,
Bundaberg,"Horton, Station Road",-25.226732,152.307816,18-Feb-19,TRUE,0,0,0,0,0,67,359
Bundaberg,Isis Golf Club,-25.229605,152.3017527,18-Feb-19,FALSE,2500,0,0,0,2500,363,
Bundaberg,Moore Park Beach,-24.71827,152.280459,18-Feb-19,FALSE,0,0,0,0,0,297,773
Fraser Coast,"Anembo Lakes, Torquay",-25.287433,152.883351,15-Feb-19,TRUE,0,0,0,0,0,364,
Fraser Coast,"Toogoom, Shellcot Street",-25.255865,152.69216,15-Feb-19,TRUE,0,0,0,0,0,271,
Moreton Bay,Burpengary Equestrian,-27.16051,152.955304,14-Feb-19,FALSE,160,40,0,0,200,189,298
Sunshine Coast,"Maroochydore, Stella Maris CS",-26.65077,153.07115,14-Feb-19,FALSE,2680,448,4875,0,8003,86,390
Sunshine Coast,"Palmwoods, Dunning Street",-26.690983,152.953975,15-Feb-19,TRUE,0,0,0,0,0,205,418
Sunshine Coast,"Mooloolaba, Goonawarra Drive",-26.682433,153.107033,14-Feb-19,FALSE,2140,156,11600,0,13896,93,395
Sunshine Coast,"Coolum, Cassia Wildlife Corridor & Elizabeth St Drain",-26.5327996,153.085496,14-Feb-19,FALSE,280,365,1300,0,1945,198,322
Sunshine Coast,"Palmview, Glenview Road",-26.757688,153.045879,15-Feb-19,FALSE,35,140,0,0,175,369,
Sunshine Coast,"Moffat Beach, Tooway Creek",-26.788058,153.136706,14-Feb-19,FALSE,501,30,9500,0,10031,156,460
Sunshine Coast,"Maleny, Mary Cairncross Scenic Reserve",-26.777548,152.881103,14-Feb-19,FALSE,0,1950,0,0,1950,356,
Sunshine Coast,"Landsborough, Vidler Crt",-26.799717,152.965367,14-Feb-19,FALSE,1278,1397,0,0,2675,78,374
Sunshine Coast,"Mooloolaba, Goonawarra Drive",-26.682433,153.107033,14-Feb-19,FALSE,200,20,15000,0,15220,93,395
Somerset,"Kilcoy, Kilcoy Creek (Anzac Park)",-26.941497,152.568748,15-Feb-19,FALSE,600,50,0,0,650,200,368
Sunshine Coast,"Landsborough, Vidler Crt",-26.799717,152.965367,15-Feb-19,FALSE,690,2300,0,0,2990,78,374
Sunshine Coast,"Palmwoods, Dunning Street",-26.690983,152.953975,16-Feb-19,TRUE,0,0,0,0,0,205,418
Sunshine Coast,"Maroochydore, Stella Maris CS",-26.65077,153.07115,15-Feb-19,FALSE,950,300,8000,0,9250,86,390
Sunshine Coast,"Moffat Beach, Tooway Creek",-26.788058,153.136706,14-Feb-19,FALSE,400,0,4000,0,4400,156,460
Moreton Bay,"Caboolture, Wararba Creek",-27.081615,152.926761,14-Feb-19,FALSE,1830,600,1,0,2431,164,186
Moreton Bay,Woodford,-26.95031,152.7763,15-Feb-19,FALSE,5000,4000,1200,0,10200,173,192
Sunshine Coast,"Coolum, Cassia Wildlife Corridor & Elizabeth St Drain",-26.5327996,153.085496,15-Feb-19,TRUE,0,0,0,0,0,198,322
Sunshine Coast,Andrea Ahern Bushland Park,-26.783841,153.127408,15-Feb-19,TRUE,0,0,0,0,0,375,
Douglas,"Port Douglas Road, Port Douglas",-16.52497,145.46468,14-Feb-19,FALSE,0,0,0,1160,1160,376,
Cook,Bloomfield,-15.935397,145.341694,15-Feb-19,TRUE,0,0,0,0,0,377,
Douglas,Port Douglas Sports,-16.488903,145.463055,14-Feb-19,TRUE,0,0,0,0,0,378,
Balonne,Dirranbandi,-28.563019,148.237899,14-Feb-19,TRUE,0,0,0,0,0,281,776
Baloone,St George,-28.025529,148.589506,14-Feb-19,FALSE,0,0,2000,0,2000,280,770
Goondiwindi,Goondiwindi (Macintyre River) Cairns St.,-28.537349,150.287601,14-Feb-19,TRUE,0,0,0,0,0,57,547
Goondiwindi,"Goondiwindi, Herbert Street",-28.543125,150.305836,14-Feb-19,TRUE,0,0,0,0,0,58,
Goondiwindi,"Inglewood, Frey Street",-28.41600814,151.0736175,13-Feb-19,TRUE,0,0,0,0,0,69,548
Maranoa,"Roma, Bungil Creek",-26.560163,148.802898,14-Feb-19,TRUE,0,0,0,0,0,131,295
Maranoa,Surat,-27.150293,149.069653,14-Feb-19,TRUE,0,0,0,0,0,282,
Southern Downs,Allora (Dalrymple Park Reserve),-28.031389,151.984722,13-Feb-19,FALSE,1000,0,3000,0,4000,3,271
Southern Downs,Allora (Dalrymple Creek),-28.028018,151.983746,13-Feb-19,TRUE,0,0,0,0,0,2,271
Southern Downs,"Killarney, Killarney State School",-28.338787,152.301742,13-Feb-19,TRUE,0,0,0,0,0,239,777
Southern Downs,Passchendaele SF,-28.554,151.813,13-Feb-19,TRUE,0,0,0,0,0,114,422
Southern Downs,Warwick - Dragon Street,-28.208062,152.029633,13-Feb-19,TRUE,0,0,0,0,0,165,470
Southern Downs,"Warwick, Rockland Rd",-28.267694,151.857025,13-Feb-19,TRUE,0,0,0,0,0,192,566
Toowoomba,Oakey - Campbell St,-27.43556,151.720408,15-Feb-19,FALSE,300,0,4000,0,4300,191,556
Western Downs,"Chinchilla, Charleys Creek Bridge",-26.736169,150.622681,15-Feb-19,FALSE,0,0,30000,0,30000,379,
Western Downs,"Dalby, Myall Creek",-27.18833,151.2626,15-Feb-19,FALSE,150,0,10000,0,10150,37,327
Cairns,Goldsborough,-17.15448,145.73802,15-Feb-19,FALSE,0,0,0,800,800,380,
Tablelands,Tolga Scrub,-17.23752,145.47961,15-Feb-19,FALSE,0,0,64,6336,6400,381,
Townsville,"Dan Gleeson Memorial Gardens, Townsville",-19.306048,146.733228,13-Feb-19,FALSE,6000,0,150,0,6150,382,
Hinchinbrook,Ingham Memorial Gardens,-18.650985,146.159302,15-Feb-19,FALSE,8325,0,10,100,8435,361,
Charters Towers,Charters Towers,-20.072564,146.2609,14-Feb-19,FALSE,2800,0,0,0,2800,366,
Townsville,The Palmetum,-19.311081,146.764228,13-Feb-19,TRUE,0,0,0,0,0,349,
Townsville,"Magnetic Island, Arcadia",-19.149399,146.86546,13-Feb-19,FALSE,45,0,0,0,45,383,
Central Highlands Regional,Emerald Botanic Gardens Rainforest,-23.53685,148.16648,8-Mar-19,FALSE,0,0,1000,0,1000,371,
Southern Downs,Stanthorpe (Gleason Park - Quart Pot Ck),-28.651918,151.931087,6-Mar-19,FALSE,1500,0,0,0,1500,145,451
Toowoomba,"Brookstead, 1589 Pampas Horrane Rd",-27.69509,151.30853,6-Mar-19,TRUE,0,0,0,0,0,180,555
Toowoomba,"Pittsworth, 1 Thomas Street",-27.712528,151.634861,6-Mar-19,TRUE,0,0,0,0,0,211,561
Toowoomba,"Pittsworth, Int. Campbell St & Perham St",-27.708465,151.638824,6-Mar-19,TRUE,0,0,0,0,0,117,562
Ipswich,"Redbank Plains, Phillip Street",-27.65083,152.856686,15-Feb-19,FALSE,100,0,0,0,100,359,
Ipswich,"Camira, Pilney Reserve (Barbara Street)",-27.6315,152.9206,15-Feb-19,FALSE,500,500,500,0,1500,20,140
Ipswich,"Walloon, Poplar Street Reserve",-27.6033,152.6728,15-Feb-19,TRUE,0,0,0,0,0,267,
Ipswich,"Ipswich Nature Centre, Queens Park, Goleby Ave",-27.619142,152.767861,15-Feb-19,FALSE,500,500,10000,0,11000,215,595
Ipswich,Woodend,-27.6031,152.7485,15-Feb-19,TRUE,0,0,0,0,0,172,191
Ipswich,Yamanto,-27.651449,152.755601,15-Feb-19,FALSE,1000,500,200,0,1700,177,479
Central Highlands Regional,Emerald Botanic Gardens Rainforest,-23.53685,148.16648,29-Mar-19,FALSE,0,0,1000,0,1000,371,
South Burnett,"Kingaroy, Mt. Wooloorin Reserve",-26.52754,151.81249,15-Mar-19,TRUE,0,0,0,0,0,71,369
Gympie,"Goomboorian, Anderleigh Rd Ginger Creek",-26.04852,152.77799,15-Feb-19,FALSE,0,0,0,0,0,55,350
