Name of local government,Name of camp,Latitude,Longitude,Date of survey,Flying-fox absent (true/false),Total number of black flying-fox,Total number of Grey-headed flying-fox,Total number of Little red flying-fox,Total number of Spectacled flying-fox,Total number of all species,EHP camp identification,CSIRO camp identification
Sunshine Coast,"Mooloolaba, Goonawarra Drive",-26.682433,153.107033,18-May-17,TRUE,0,0,0,0,0,93,395
Sunshine Coast,"Landsborough, Vidler Crt",-26.799717,152.965367,18-May-17,TRUE,0,0,0,0,0,78,374
Sunshine Coast,"Maroochydore, Stella Maris CS",-26.65077,153.07115,18-May-17,TRUE,0,0,0,0,0,86,390
Whitsunday,Collinsville,-20.5483,147.848,31-May-17,TRUE,0,0,0,0,0,289,316
Gold Coast,"Robina, Kiralee Dr",-28.062892,153.411992,20-May-17,FALSE,420,0,0,0,420,130,436
Rockhampton,Duaringa,-23.7209,149.6709,19-May-17,FALSE,0,0,0,0,0,301,
Whitsunday,Hayman Island,-20.0578,148.884,8-May-17,TRUE,0,0,0,0,0,311,354
Whitsunday,Hayman Island,-20.0578,148.884,12-Jun-17,TRUE,0,0,0,0,0,311,354
Whitsunday,Hayman Island,-20.0578,148.884,9-Jun-17,TRUE,0,0,0,0,0,311,354
Noosa,"Noosaville, Wallace Drive",-26.400669,153.049086,17-May-17,FALSE,900,3600,0,0,4500,245,781
Fraser Coast,Glenwood Varley Road,-25.9274,152.6259,18-May-17,FALSE,500,0,0,0,500,53,349
Sunshine Coast,Cooran - Yellow Belly Reserve,-26.3375,152.8264,17-May-17,TRUE,0,0,0,0,0,34,324
Gympie,"Goomboorian, Anderleigh Rd Ginger Creek",-26.04852,152.77799,18-May-17,FALSE,450,50,0,0,500,55,350
Gympie,"Kandanga, Hyne Estate Rd",-26.4048,152.7044,18-May-17,FALSE,1672,31758,0,0,33430,70,164
Gympie,"Gympie Township, Widgee Crossing",-26.1822,152.6384,18-May-17,FALSE,720,80,0,0,800,59,161
Ipswich,"Camira, Pilney Reserve (Barbara Street)",-27.6315,152.9206,19-May-17,FALSE,700,0,0,0,700,20,140
Ipswich,"Redbank Plains, Phillip Street",-27.65083,152.856686,19-May-17,FALSE,100,0,0,0,100,359,
Ipswich,Woodend,-27.6031,152.7485,19-May-17,TRUE,0,0,0,0,0,172,191
Ipswich,Yamanto,-27.651449,152.755601,19-May-17,FALSE,1000,0,0,0,1000,177,479
